cycle,id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,len_answer,experience
Summer,1,1,0,1,0,0,1,1,2,2,2,5,0,3,6,74,"None, I just finished my undergrad!"
Spring,2,1,1,0,0,0,0,0,4,9,7,7,6,3,8,597,"None, I just finished my undergrad!"
Fall,3,0,0,0,0,0,0,0,7,5,4,3,2,9,9,548,"5+ years, I'm a veteran!"
Spring,4,0,0,1,0,0,0,0,7,7,5,4,1,6,8,954,"5+ years, I'm a veteran!"
Fall,5,0,0,1,0,0,1,1,7,6,8,8,4,6,7,612,"2-5 years, I'm getting good at what I do!"
Spring,6,1,0,0,0,0,0,0,1,2,9,9,2,1,2,360,"None, I just finished my undergrad!"
Fall,7,1,0,1,0,0,1,0,8,7,8,8,6,8,8,910,"2-5 years, I'm getting good at what I do!"
Summer,8,1,1,1,0,1,0,0,7,9,8,6,8,6,8,904,"2-5 years, I'm getting good at what I do!"
Summer,9,1,1,1,0,0,1,1,5,4,7,8,4,3,6,928,"None, I just finished my undergrad!"
Fall,10,1,1,1,0,0,0,0,4,6,3,5,3,1,8,623,"None, I just finished my undergrad!"
Summer,11,1,0,0,0,1,0,0,1,3,2,1,3,4,6,555,"< 2 years, I'm fresh!"
Fall,12,0,1,0,0,0,0,0,1,2,7,6,1,7,8,1230,"None, I just finished my undergrad!"
Fall,13,1,0,0,0,0,1,0,1,5,10,9,1,1,2,163,"None, I just finished my undergrad!"
Spring,14,0,0,1,0,0,1,1,4,3,8,8,1,3,6,332,"< 2 years, I'm fresh!"
Spring,15,1,0,0,0,0,1,0,3,7,9,2,7,2,7,1187,"2-5 years, I'm getting good at what I do!"
Spring,16,1,0,0,0,0,1,0,1,3,8,6,5,3,6,704,"None, I just finished my undergrad!"
Fall,17,0,1,0,0,0,0,0,2,3,6,5,3,3,4,863,"None, I just finished my undergrad!"
Summer,18,1,0,0,0,0,1,1,5,3,7,5,1,9,10,199,"None, I just finished my undergrad!"
Summer,19,1,1,1,0,0,1,0,1,6,10,9,7,4,8,734,"None, I just finished my undergrad!"
Spring,20,1,1,1,1,1,1,0,5,9,9,7,8,8,8,215,"None, I just finished my undergrad!"
Fall,21,1,1,1,0,0,1,0,4,5,8,8,3,4,7,443,"None, I just finished my undergrad!"
Fall,22,1,0,0,0,0,1,0,7,3,6,4,2,4,3,329,"< 2 years, I'm fresh!"
